id,title,description,availability,condition,price,link,image_link,mpn
15,"Taffware Digipounds Gohide Timbangan Badan Kaca Digital 180Kg Small",-,"in stock",new,63000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-gohide-timbangan-badan-kaca-digital-180kg-small,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/501edc5c-5dcd-4909-88dc-efb9ea1b95e3.jpg?ect=4g,taffware-digipounds-gohide-timbangan-badan-kaca-digital-180kg-small
16,"Taffware Digipounds Gohide Timbangan Badan Kaca Digital 180KgLargeSize",-,"in stock",new,74000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-gohide-timbangan-badan-kaca-digital-180kglargesize,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/5abd0726-df00-4594-9f88-32f4da2dd4ef.jpg?ect=4g,taffware-digipounds-gohide-timbangan-badan-kaca-digital-180kglargesize
17,"TaffwareDigipounds Timbangan Badan Digital dengan Indikator Suhu black",-,"in stock",new,77000,https://www.tokopedia.com/hifebriansyah/taffwaredigipounds-timbangan-badan-digital-dengan-indikator-suhu-black,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/c4478845-a239-4c7a-8ce3-bf8131b54564.jpg?ect=4g,taffwaredigipounds-timbangan-badan-digital-dengan-indikator-suhu-black
18,"Taffware Digipounds Timbangan Badan Elektronik Bluetooth 150KG - SC-07",-,"in stock",new,97000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-timbangan-badan-elektronik-bluetooth-150kg-sc-07,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/021ae508-4a44-4876-a453-06a363865c1b.jpg?ect=4g,taffware-digipounds-timbangan-badan-elektronik-bluetooth-150kg-sc-07
19,"Taffware Digipounds Timbangan Badan Kaca Elektronik 180KG - SC-05 Pink",-,"in stock",new,68000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-timbangan-badan-kaca-elektronik-180kg-sc-05-pink,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/ac94b107-985f-4774-9b7e-4fa742b51780.jpg?ect=4g,taffware-digipounds-timbangan-badan-kaca-elektronik-180kg-sc-05-pink
20,"Taffware Digipounds Timbangan Badan Kaca Elektronik 180KG SC-05 Black",-,"in stock",new,79000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-timbangan-badan-kaca-elektronik-180kg-sc-05-black,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/3d4dec5b-eb33-41d4-bf39-322a2c2327b9.jpg?ect=4g,taffware-digipounds-timbangan-badan-kaca-elektronik-180kg-sc-05-black
21,"Taffware Digipounds Gason Timbangan Badan Elektronik 180kg - A2 Black",-,"in stock",new,90000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-gason-timbangan-badan-elektronik-180kg-a2-black,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/c1d55bf0-f58c-42de-be47-464aac8fb72f.jpg?ect=4g,taffware-digipounds-gason-timbangan-badan-elektronik-180kg-a2-black
22,"Taffware Digipounds Timbangan Badan Digital + Temperature USB Recharge",-,"in stock",new,84000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-timbangan-badan-digital-temperature-usb-recharge,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/95a81721-14a4-4ba8-9d1a-2b9a73ee1549.jpg?ect=4g,taffware-digipounds-timbangan-badan-digital-temperature-usb-recharge
23,"Taffware Digipounds Timbangan Badan Mini Digital 180Kg - SC-11 - Blue",-,"in stock",new,83000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-timbangan-badan-mini-digital-180kg-sc-11-blue,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/1fe302a5-744d-4fd1-960a-082bb3f1a2ca.jpg?ect=4g,taffware-digipounds-timbangan-badan-mini-digital-180kg-sc-11-blue
24,"Taffware Digipounds Timbangan Badan Digital + Temperature Battery Ver",-,"in stock",new,72000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-timbangan-badan-digital-temperature-battery-ver,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/8179ec28-9b4a-46fd-9233-514bcf72a746.jpg?ect=4g,taffware-digipounds-timbangan-badan-digital-temperature-battery-ver
25,"HP EliteBook X360 1030 G2 Intel i7-7600U 16GB 512GB Touchscreen [NEGO]",-,"in stock",new,7951000,https://www.tokopedia.com/hifebriansyah/hp-elitebook-x360-1030-g2-intel-i7-7600u-16gb-512gb-touchscreen-nego-fhd-512-gb,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/8e6ffde4-7706-49c7-a406-e5671d7998be.jpg?ect=4g,hp-elitebook-x360-1030-g2-intel-i7-7600u-16gb-512gb-touchscreen-nego-fhd-512-gb
26,"MCDODO Kabel Charger Lightning Braided L Shape 1.8 Meter - CA-467 - Bl",-,"in stock",new,47000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-lightning-braided-l-shape-1-8-meter-ca-467-bl,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/b9ff0925-f168-4605-acf1-961c7f212a67.jpg?ect=4g,mcdodo-kabel-charger-lightning-braided-l-shape-1-8-meter-ca-467-bl
27,"MCDODO Kabel Charger USB Type C L Angle LED 2 Meter - CA-6391 - Black",-,"in stock",new,71000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-l-angle-led-2-meter-ca-6391-black,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/3cd7c3c0-04c1-48f0-955a-3f2d4158b1d8.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-l-angle-led-2-meter-ca-6391-black
28,"Mcdodo Kabel Charger USB Type C QC4.0 5A 1 Meter - CA-542 - Black",-,"in stock",new,58000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-qc4-0-5a-1-meter-ca-542-black,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/52105365-7fa2-4b4f-aea8-376fde26caa9.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-qc4-0-5a-1-meter-ca-542-black
29,"MCDODO Kabel Charger USB Type C Fast Charging 5A 1.5 Meter - CA-7430 -",-,"in stock",new,61000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-fast-charging-5a-1-5-meter-ca-7430,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/fcd3b457-7d77-445e-b2ed-283eea44d382.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-fast-charging-5a-1-5-meter-ca-7430
30,"MCDODO Charger USB Type C PD QC4.0 2 Port 20W - CH-8411 - Black",-,"in stock",new,141000,https://www.tokopedia.com/hifebriansyah/mcdodo-charger-usb-type-c-pd-qc4-0-2-port-20w-ch-8411-black,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/ce9b67ed-6b45-4536-924d-84c0c6030497.jpg?ect=4g,mcdodo-charger-usb-type-c-pd-qc4-0-2-port-20w-ch-8411-black
31,"MCDODO Kabel Charger Lightning Fast Charging 3A 1.8 Meter - CA-8063 -",-,"in stock",new,84000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-lightning-fast-charging-3a-1-8-meter-ca-8063,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/d06a4af3-dd9f-4c9d-b271-43f4cd071dbb.jpg?ect=4g,mcdodo-kabel-charger-lightning-fast-charging-3a-1-8-meter-ca-8063
32,"MCDODO GaN Charger USB Type C QC4 PD 3 Port 65W - CA-792 - Black",-,"in stock",new,376000,https://www.tokopedia.com/hifebriansyah/mcdodo-gan-charger-usb-type-c-qc4-pd-3-port-65w-ca-792-black,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/8381b990-14bc-4571-bb60-723af0aa59f7.jpg?ect=4g,mcdodo-gan-charger-usb-type-c-qc4-pd-3-port-65w-ca-792-black
33,"MCDODO Kabel Charger Lightning L Shape 2.4A 1.8 Meter - CA-667 - Black",-,"in stock",new,49000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-lightning-l-shape-2-4a-1-8-meter-ca-667-black,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/d0aff90a-dc55-4dc7-a293-2505d994dd2f.jpg?ect=4g,mcdodo-kabel-charger-lightning-l-shape-2-4a-1-8-meter-ca-667-black
34,"MCDODO Kabel Charger USB Type C to Lightning PD Quick Charge 36W 1.8m",-,"in stock",new,84000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-to-lightning-pd-quick-charge-36w-1-8m,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/104791a0-fb83-4584-a7f4-c14ec02a4d73.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-to-lightning-pd-quick-charge-36w-1-8m
35,"MCDODO Kabel Charger USB Type C to Lightning PD Quick Charge 1.8m - CA",-,"in stock",new,51000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-to-lightning-pd-quick-charge-1-8m-ca,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/71568ff8-7442-4b29-8e02-53330ff888f7.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-to-lightning-pd-quick-charge-1-8m-ca
36,"MCDODO Kabel Charger USB Type C to Lightning PD Quick Charge 1.2 Meter",-,"in stock",new,84000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-to-lightning-pd-quick-charge-1-2-meter,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/ce67314f-052a-4f60-ab00-976f3939cc1c.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-to-lightning-pd-quick-charge-1-2-meter
37,"Mcdodo Thor Series Kabel Charger Gaming USB Type C 2A 2M - CA-4901 - B",-,"in stock",new,79000,https://www.tokopedia.com/hifebriansyah/mcdodo-thor-series-kabel-charger-gaming-usb-type-c-2a-2m-ca-4901-b,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/a8fa5730-f3b8-47e7-83cc-fe65bec9ffe6.jpg?ect=4g,mcdodo-thor-series-kabel-charger-gaming-usb-type-c-2a-2m-ca-4901-b
38,"MCDODO Kabel Charger USB Type C to Lightning Braided L Shape 3A 1.8 Me",-,"in stock",new,95000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-to-lightning-braided-l-shape-3a-1-8-me,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/f7ad4b07-e336-4ce5-bc45-b234d3ae1a6b.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-to-lightning-braided-l-shape-3a-1-8-me
39,"MCDODO Travel Charger USB 3 Port 3.4A - CH-5341 - Black",-,"in stock",new,63000,https://www.tokopedia.com/hifebriansyah/mcdodo-travel-charger-usb-3-port-3-4a-ch-5341-black,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/481fd26c-963f-4834-a8f7-2ae38ec7ac1a.jpg?ect=4g,mcdodo-travel-charger-usb-3-port-3-4a-ch-5341-black
40,"MCDODO Kabel Charger USB Type C Premium Auto Disconnect 1.5 Meter - CA",-,"in stock",new,121000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-premium-auto-disconnect-1-5-meter-ca,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/7a339c98-af82-4838-be8f-633be276a19d.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-premium-auto-disconnect-1-5-meter-ca
41,"MCDODO Kabel Charger USB Type C Braided L Shape 3A 1.8 Meter - CA-7521",-,"in stock",new,54000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-braided-l-shape-3a-1-8-meter-ca-7521,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/ea86085e-646e-4e47-b265-07b053fb1f73.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-braided-l-shape-3a-1-8-meter-ca-7521
42,"MCDODO Kabel Charger USB Type C Braided L Shape 1.8 Meter - CA-5282 -",-,"in stock",new,46000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-braided-l-shape-1-8-meter-ca-5282,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/51bae9e2-5d81-4ab0-995c-931ad72f7937.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-braided-l-shape-1-8-meter-ca-5282
43,"MCDODO Kabel Charger USB Type C Braided L Shape 1.2 Meter - CA-5281 -",-,"in stock",new,42000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-usb-type-c-braided-l-shape-1-2-meter-ca-5281,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/1d429d4b-2c9a-45f0-8391-d5cb44e9d913.jpg?ect=4g,mcdodo-kabel-charger-usb-type-c-braided-l-shape-1-2-meter-ca-5281
44,"MCDODO Kabel Charger 3 in 1 Type C + Lightning + Micro USB 1.2 Meter -",-,"in stock",new,53000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-3-in-1-type-c-lightning-micro-usb-1-2-meter,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/39318ed0-bdc5-440e-8c81-ebc5d6374bc8.jpg?ect=4g,mcdodo-kabel-charger-3-in-1-type-c-lightning-micro-usb-1-2-meter
45,"MCDODO Adapter 3 in 1 USB Type C to AUX 3.5mm + USB Type C - CA546 - B",-,"in stock",new,67000,https://www.tokopedia.com/hifebriansyah/mcdodo-adapter-3-in-1-usb-type-c-to-aux-3-5mm-usb-type-c-ca546-b,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/5a06ea70-0e3b-4ec3-9d80-e8046f966491.jpg?ect=4g,mcdodo-adapter-3-in-1-usb-type-c-to-aux-3-5mm-usb-type-c-ca546-b
46,"MCDODO TWS Earphone Wireless Bluetooth V5.1 Intelligent Touch Control",-,"in stock",new,248000,https://www.tokopedia.com/hifebriansyah/mcdodo-tws-earphone-wireless-bluetooth-v5-1-intelligent-touch-control,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/1cca2004-33f3-4495-8723-e1004bbaf9b3.jpg?ect=4g,mcdodo-tws-earphone-wireless-bluetooth-v5-1-intelligent-touch-control
47,"MCDODO Kabel Charger Lightning Fast Charging Auto Disconnect 3A 1.8 Me",-,"in stock",new,69000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-lightning-fast-charging-auto-disconnect-3a-1-8-me,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/20dccab4-ccc0-4a28-a0be-729298581acd.jpg?ect=4g,mcdodo-kabel-charger-lightning-fast-charging-auto-disconnect-3a-1-8-me
48,"MCDODO Kabel Charger Lightning Fast Charging Auto Disconnect 1.2 Meter",-,"in stock",new,78000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-lightning-fast-charging-auto-disconnect-1-2-meter,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/12613724-415b-41ab-86ee-fad29c248777.jpg?ect=4g,mcdodo-kabel-charger-lightning-fast-charging-auto-disconnect-1-2-meter
49,"MCDODO Kabel Charger Lightning Premium Auto Disconnect 1.2 Meter - CA-",-,"in stock",new,77000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-lightning-premium-auto-disconnect-1-2-meter-ca,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/04064f5c-cee0-4c5b-868a-202868d1ac0d.jpg?ect=4g,mcdodo-kabel-charger-lightning-premium-auto-disconnect-1-2-meter-ca
50,"MCDODO Kabel Charger Lightning Braided L Shape 3A 1.2 Meter - CA-7510",-,"in stock",new,49000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-lightning-braided-l-shape-3a-1-2-meter-ca-7510,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/8ee1dcfb-5f1b-49a6-93cc-f1ec208ea7b6.jpg?ect=4g,mcdodo-kabel-charger-lightning-braided-l-shape-3a-1-2-meter-ca-7510
51,"MCDODO Kabel Charger Lightning Braided L Shape 1.2 Meter - CA-4671 - B",-,"in stock",new,46000,https://www.tokopedia.com/hifebriansyah/mcdodo-kabel-charger-lightning-braided-l-shape-1-2-meter-ca-4671-b,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/396e26eb-bbc3-4109-89e7-f6963a000263.jpg?ect=4g,mcdodo-kabel-charger-lightning-braided-l-shape-1-2-meter-ca-4671-b
52,"Jakemy 106 in 1 Obeng Set Portable DIY High-End Screwdriver Tool Set -",-,"in stock",new,179000,https://www.tokopedia.com/hifebriansyah/jakemy-106-in-1-obeng-set-portable-diy-high-end-screwdriver-tool-set,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/89e214ca-dbc0-4130-9948-4e8e93e1b68f.jpg?ect=4g,jakemy-106-in-1-obeng-set-portable-diy-high-end-screwdriver-tool-set
53,"Jakemy Multifunction Opening Ultra Thin Power Tools Kit - JM-OP15",-,"in stock",new,47000,https://www.tokopedia.com/hifebriansyah/jakemy-multifunction-opening-ultra-thin-power-tools-kit-jm-op15,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/3/26ec29c9-7010-4d24-9b62-23e846827f09.jpg?ect=4g,jakemy-multifunction-opening-ultra-thin-power-tools-kit-jm-op15
54,"Jakemy 6 in 1 Professional Repair Tools Screwdriver Kit",-,"in stock",new,41000,https://www.tokopedia.com/hifebriansyah/jakemy-6-in-1-professional-repair-tools-screwdriver-kit,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/3/35361a50-35ca-4785-8b6e-7e5753a9bb10.jpg?ect=4g,jakemy-6-in-1-professional-repair-tools-screwdriver-kit
55,"Jakemy Anti-Static Fiber Opening Tools - JM-OP11",-,"in stock",new,27000,https://www.tokopedia.com/hifebriansyah/jakemy-anti-static-fiber-opening-tools-jm-op11,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/3/709fde21-5b8a-4354-a2c1-4f12a445eab3.jpg?ect=4g,jakemy-anti-static-fiber-opening-tools-jm-op11
56,"Powerful Suction Cup Set Screen Removing Tool 3 PCS JM/SK04 (Jakemy)",-,"in stock",new,24000,https://www.tokopedia.com/hifebriansyah/powerful-suction-cup-set-screen-removing-tool-3-pcs-jm-sk04-jakemy,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/3/8d534910-1851-4e0e-b3ce-ce96ff40f1f6.jpg?ect=4g,powerful-suction-cup-set-screen-removing-tool-3-pcs-jm-sk04-jakemy
57,"Jakemy 49 in 1 Obeng Set Premium Smartphone Pro Tech Driver Kit - JM-8",-,"in stock",new,152000,https://www.tokopedia.com/hifebriansyah/jakemy-49-in-1-obeng-set-premium-smartphone-pro-tech-driver-kit-jm-8,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/3/aefe4313-f9e5-42ec-aa1b-d050237c4032.jpg?ect=4g,jakemy-49-in-1-obeng-set-premium-smartphone-pro-tech-driver-kit-jm-8
58,"Jakemy Powerful Suction Bracket Alat Pembuka Layar Smartphone - JM-SK0",-,"in stock",new,35000,https://www.tokopedia.com/hifebriansyah/jakemy-powerful-suction-bracket-alat-pembuka-layar-smartphone-jm-sk0,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/3/76c0e905-6a59-4891-b93b-26ba47c11b8f.jpg?ect=4g,jakemy-powerful-suction-bracket-alat-pembuka-layar-smartphone-jm-sk0
59,"Jakemy Powerful Suction Cup Set Screen Removing Tool 3 PCS - JM-SK04",-,"in stock",new,24000,https://www.tokopedia.com/hifebriansyah/jakemy-powerful-suction-cup-set-screen-removing-tool-3-pcs-jm-sk04,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/3/5ba328fe-35f8-44b2-bdd6-ac1f84f16869.jpg?ect=4g,jakemy-powerful-suction-cup-set-screen-removing-tool-3-pcs-jm-sk04
60,"Jakemy High Anti Static Tweezers Suit 3 PCS - JM-T11",-,"in stock",new,23000,https://www.tokopedia.com/hifebriansyah/jakemy-high-anti-static-tweezers-suit-3-pcs-jm-t11,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/3/d14a0cc8-3f76-40eb-9cae-53fdaa95ce43.jpg?ect=4g,jakemy-high-anti-static-tweezers-suit-3-pcs-jm-t11
61,"Jakemy 53 in 1 Precision Screwdriver Repair Tool Kit - JM-8127",-,"in stock",new,108000,https://www.tokopedia.com/hifebriansyah/jakemy-53-in-1-precision-screwdriver-repair-tool-kit-jm-8127,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/3/14caa52b-37bb-43e5-bb14-d10a2b986cbf.jpg?ect=4g,jakemy-53-in-1-precision-screwdriver-repair-tool-kit-jm-8127
